Position,Company,URL
Software Engineer(s),EIDU,https://berlinstartupjobs.comhttps://berlinstartupjobs.com/engineering/software-engineers-eidu-gmbh/
Software Engineer – Infrastructure *remote* (m/f/d),Pliant,https://berlinstartupjobs.comhttps://berlinstartupjobs.com/engineering/software-engineer-infrastructure-remote-m-f-d-pliant/
Senior Software Engineer Loan Originations,Figure,https://web3.career/senior-software-engineer-loan-originations-figure/79102
Senior Software Engineer Data Engineering,Figure,https://web3.career/senior-software-engineer-data-engineering-figure/79193
Senior Software Engineer CSP,Figure,https://web3.career/senior-software-engineer-csp-figure/81569
Senior Engineer Java Exchange Platm Financial Product,Okx,https://web3.career/senior-engineer-java-exchange-platform-financial-product-okx/82590
Software Engineer Platm,Wallet,https://web3.career/software-engineer-platform-wallet/82577
Staff Software Engineer Aggregation Search,Chainalysis,https://web3.career/staff-software-engineer-aggregation-search-chainalysis/82537
Technical Business Analyst,Copperco,https://web3.career/technical-business-analyst-copperco/80819
Senior Full Stack Engineer,BCB Group,https://web3.career/senior-full-stack-engineer-bcbgroup/82523
Principal Engineer Data Engineering,Figure,https://web3.career/principal-engineer-data-engineering-figure/82473
Engineering Internship Summer 2025,Alchemy,https://web3.career/engineering-internship-summer-2025-alchemy/82467
Lead Smart Contracts Engineer – Solidity,Fun.xyz,https://web3.career/lead-smart-contracts-engineer-solidity-fun-xyz/82394
Senior XR Developer,Genies,https://web3.career/senior-xr-developer-genies/82342
Quality Assurance Engineer Automation,xalts,https://web3.career/quality-assurance-engineer-automation-xalts/82287
Senior Software Engineer Rust Go,Nethermind,https://web3.career/senior-software-engineer-rust-go-nethermind/78815
Senior Software Engineer Data,Falconx,https://web3.career/senior-software-engineer-data-falconx/82278
Software Engineer,Copperco,https://web3.career/software-engineer-copperco/79704
Senior QA Engineer,Bitpanda,https://web3.career/senior-qa-engineer-bitpanda/76024
Trading Operations Engineer Trading Technology,Bitmex,https://web3.career/trading-operations-engineer-trading-technology-bitmex/79450
Software Developer Trading Technology Query Stack,Bitmex,https://web3.career/software-developer-trading-technology-query-stack-bitmex/79522
Principal Technical Writer,Circle - Referrals,https://web3.career/principal-technical-writer-circlereferrals/82262
Principal Technical Writer,Circle,https://web3.career/principal-technical-writer-circle/82261
Software Engineer Trading Systems,Gemini,https://web3.career/software-engineer-trading-systems-gemini/82205
Staff Software Engineer Exchange,Blockchain.com,https://web3.career/staff-software-engineer-exchange-blockchain/81900
Java Backend Engineer Chatbot,Binance,https://web3.career/java-backend-engineer-chatbot-binance/81852
Backend Engineer Chatbot,Binance,https://web3.career/backend-engineer-chatbot-binance/81850
Lead Software Engineer Backend,xalts,https://web3.career/lead-software-engineer-backend-xalts/81686
Software Engineering Manager Funding,Gemini,https://web3.career/software-engineering-manager-funding-gemini/81596
Software Engineer IVCloud,Foundry,https://web3.career/software-engineer-iv-cloud-foundrydigital/81585
Associate Manager Software Development Backend,xalts,https://web3.career/associate-manager-software-development-backend-xalts/81583
Java Software Engineer Web3 Latam,Bitso,https://web3.career/java-software-engineer-web3-latam-bitso/81507
Staff Software Engineer Global Intelligence,Chainalysis,https://web3.career/staff-software-engineer-global-intelligence-chainalysis/81467
Software Engineer Global Intelligence PhD Graduate,Chainalysis,https://web3.career/software-engineer-global-intelligence-phd-graduate-chainalysis/81466
